t_s,iter,n_active,n_vars,n_rows,status,objective,wall_s
6150,2,24,4033,16628,optimal,7.3851849576980655,0.0697958329692483
6300,0,24,4033,16216,optimal,6.963146922312025,0.06678145797923207
6300,1,24,4033,16435,optimal,6.96312292539925,0.06665108300512657
6300,2,24,4033,16590,optimal,6.962599072714105,0.07264870899962261
6450,0,23,3865,15643,optimal,6.555982146781675,0.061677583027631044
6450,1,23,3865,15822,optimal,6.555946653869695,0.06195870804367587
6450,2,23,3865,15997,optimal,6.555664646461795,0.0688044999842532
6600,0,23,3865,15695,optimal,6.236432434083164,0.06226295803207904
6600,1,23,3865,15837,optimal,6.236370292869439,0.0616791250067763
6600,2,23,3865,15957,optimal,6.236138541414086,0.06329429196193814
6750,0,22,3697,14745,optimal,5.989405008474153,0.06367091700667515
6750,1,22,3697,14867,optimal,5.989359775742835,0.058671666018199176
6750,2,22,3697,14952,optimal,5.989194644493599,0.06077641696901992
6900,0,22,3697,14852,optimal,5.779913698815109,0.06506383401574567
6900,1,22,3697,14946,optimal,5.779837887279803,0.06009254098171368
6900,2,22,3697,15035,optimal,5.779766176719745,0.05949487502221018
7050,0,22,3697,14981,optimal,5.601473302342571,0.05957616702653468
7050,1,22,3697,15054,optimal,5.601253920717981,0.06637491699075326
7050,2,22,3697,15093,optimal,5.601235787556484,0.0622993329889141
7200,0,30,7665,18226,optimal,10.191218460919899,1.4503832090413198
7200,1,30,7665,18324,optimal,10.224842097788978,0.8811369580216706
7200,2,30,7665,18867,optimal,10.239550377388236,0.7146519580273889
7350,0,30,5041,18149,optimal,9.699862766658121,0.09277179202763364
7350,1,30,5041,18192,optimal,9.738251757555455,0.0934167499653995
7350,2,30,5041,18721,optimal,9.739206415736197,0.09545654198154807
7500,0,29,4873,17941,optimal,8.96624089591455,0.09145549999084324
7500,1,29,4873,17945,optimal,8.991605522289015,0.08566874999087304
7500,2,29,4873,18416,optimal,8.987643972477112,0.09637116699013859
7650,0,28,4705,17100,optimal,8.263743682622225,0.08879912504926324
7650,1,28,4705,17103,optimal,8.279444226851288,0.08531908399891108
7650,2,28,4705,17620,optimal,8.276465478169236,0.0844961249968037
7800,0,28,4705,17314,optimal,7.707786828575642,0.08644920802908018
7800,1,28,4705,17294,optimal,7.722614561353231,0.08468654099851847
7800,2,28,4705,17773,optimal,7.720396965519283,0.08186108304653317
7950,0,26,4369,16058,optimal,7.19666123028443,0.07208229199750349
7950,1,26,4369,15975,optimal,7.20665450493848,0.07359362504212186
7950,2,26,4369,16445,optimal,7.205171622183197,0.0805809170124121
8100,0,25,4201,15583,optimal,6.820786527151063,0.06796920800115913
8100,1,25,4201,15431,optimal,6.827302686314658,0.06653229199582711
8100,2,25,4201,15958,optimal,6.826506931407762,0.0715370419784449
8250,0,25,4201,15847,optimal,6.5165130688128174,0.06957837496884167
8250,1,25,4201,15714,optimal,6.519717837649729,0.06744749995414168
8250,2,25,4201,16168,optimal,6.5202906428977885,0.07403324998449534
8400,0,25,4201,16247,optimal,6.2052766961945425,0.06901820795610547
8400,1,25,4201,16140,optimal,6.206575134413816,0.07139383303001523
8400,2,25,4201,16539,optimal,6.206225506904933,0.0732805419829674
8550,0,25,4201,16603,optimal,5.980926757526857,0.0710312919691205
8550,1,25,4201,16511,optimal,5.980899567610833,0.06927441601874307
8550,2,25,4201,16809,optimal,5.980405577219769,0.07709999999497086
8700,0,25,4201,16936,optimal,5.779360904462602,0.06859533296665177
8700,1,25,4201,16857,optimal,5.7794377210693,0.07271041697822511
8700,2,25,4201,17096,optimal,5.7787623834068,0.07808874995680526
