t_s,level,iter,n_active,n_vars,n_rows,status,objective,wall_s
10500,depth,1,24,4033,20333,optimal,5.5284864659732955,0.07209887501085177
10650,depth,0,24,4033,18820,optimal,5.403786948769798,0.08088420797139406
10650,route,,24,1585,12937,optimal,38320545753.43853,0.028873708040919155
10650,depth,1,24,4033,20001,optimal,5.404415583321244,0.07661624997854233
10800,depth,0,31,7833,21735,optimal,9.411780826480587,1.25590575003298
10800,route,,31,2274,14810,optimal,78643867389.77168,0.034079750010278076
10800,depth,1,31,7833,23638,optimal,9.438380760236793,1.1485885829897597
10950,depth,0,31,5209,21578,optimal,9.073989641135508,0.0918824999826029
10950,route,,31,2230,14715,optimal,156169752845.24454,0.03302916599204764
10950,depth,1,31,5209,23237,optimal,9.088171926166622,0.10331570799462497
11100,depth,0,29,4873,19960,optimal,8.467710261472806,0.08440912503283471
11100,route,,29,2166,14640,optimal,224812414185.24066,0.03277275001164526
11100,depth,1,29,4873,21376,optimal,8.469979910382953,0.08722537499852479
11250,depth,0,29,4873,20119,optimal,7.830321278552902,0.09788479097187519
11250,route,,29,2129,14844,optimal,181135944609.96317,0.03169195895316079
11250,depth,1,29,4873,21390,optimal,7.830528632486829,0.08748179202666506
11400,depth,0,27,4537,18711,optimal,7.3314521165177755,0.0829144999734126
11400,route,,27,2082,15008,optimal,108445075654.13152,0.03142524999566376
11400,depth,1,27,4537,20248,optimal,7.331452116517775,0.08218795899301767
11550,depth,0,27,4537,18882,optimal,6.880300866825147,0.0852722079725936
11550,route,,27,2047,15366,optimal,66594506121.19174,0.03249287500511855
11550,depth,1,27,4537,20748,optimal,6.880300866825149,0.08409091702196747
11700,depth,0,27,4537,18980,optimal,6.493007209375231,0.0876384160364978
11700,route,,27,2019,15537,optimal,62786318208.8008,0.03975462500238791
11700,depth,1,27,4537,21322,optimal,6.493014361725312,0.08431824995204806
11850,depth,0,26,4369,18264,optimal,6.214379776268972,0.07290824997471645
11850,route,,26,1991,15600,optimal,68979420841.29413,0.03319487499538809
11850,depth,1,26,4369,20697,optimal,6.214386928619052,0.0840055420412682
12000,depth,0,26,4369,18423,optimal,5.9769703486728964,0.07239783403929323
12000,route,,26,1962,15489,optimal,65444494808.58864,0.034673582995310426
12000,depth,1,26,4369,20731,optimal,5.978511539745454,0.09037495800293982
12150,depth,0,26,4369,18651,optimal,5.758286715867158,0.07949724997160956
12150,route,,26,1916,15406,optimal,72434558435.46494,0.03930387494619936
12150,depth,1,26,4369,21079,optimal,5.763631795603084,0.07758204196579754
12300,depth,0,26,4369,18826,optimal,5.560846744264074,0.07810870802495629
12300,route,,26,1847,15104,optimal,83719124619.03549,0.03344758303137496
12300,depth,1,26,4369,21104,optimal,5.566513276279625,0.086073792015668
12450,depth,0,25,4201,18166,optimal,5.395809335062918,0.07221474999096245
12450,route,,25,1775,14833,optimal,103470088910.63109,0.030223082983866334
12450,depth,1,25,4201,19998,optimal,5.401199184433894,0.0768348749843426
12600,depth,0,33,8169,21954,optimal,9.846801608475031,1.2376267499639653
12600,route,,33,2545,16897,optimal,295585681627.455,0.03981112502515316
12600,depth,1,33,8169,24346,optimal,9.882653474372066,1.1771639159996994
12600,route,,33,2551,16141,optimal,840068286249.1604,0.05013912497088313
12600,depth,2,33,8169,24801,optimal,9.882389716080272,0.855910208018031
