t_s,ground_station,serving_sat,serving_el_deg,src_sat,path,hops,prop_delay_ms,reachable
1490,Sao-Paulo,,,0,UNREACHABLE,,,False
1500,Tokyo,,,0,UNREACHABLE,,,False
1500,Sao-Paulo,,,0,UNREACHABLE,,,False
1510,Tokyo,,,0,UNREACHABLE,,,False
1510,Sao-Paulo,,,0,UNREACHABLE,,,False
1520,Tokyo,,,0,UNREACHABLE,,,False
1520,Sao-Paulo,,,0,UNREACHABLE,,,False
1530,Tokyo,,,0,UNREACHABLE,,,False
1530,Sao-Paulo,,,0,UNREACHABLE,,,False
1540,Tokyo,,,0,UNREACHABLE,,,False
1540,Sao-Paulo,,,0,UNREACHABLE,,,False
1550,Tokyo,,,0,UNREACHABLE,,,False
1550,Sao-Paulo,,,0,UNREACHABLE,,,False
1560,Tokyo,,,0,UNREACHABLE,,,False
1560,Sao-Paulo,,,0,UNREACHABLE,,,False
1570,Tokyo,,,0,UNREACHABLE,,,False
1570,Sao-Paulo,,,0,UNREACHABLE,,,False
1580,Tokyo,,,0,UNREACHABLE,,,False
1580,Sao-Paulo,,,0,UNREACHABLE,,,False
1590,Tokyo,,,0,UNREACHABLE,,,False
1590,Sao-Paulo,,,0,UNREACHABLE,,,False
1600,Tokyo,,,0,UNREACHABLE,,,False
1600,Sao-Paulo,,,0,UNREACHABLE,,,False
1610,Tokyo,,,0,UNREACHABLE,,,False
1610,Sao-Paulo,,,0,UNREACHABLE,,,False
1620,Tokyo,,,0,UNREACHABLE,,,False
1620,Sao-Paulo,,,0,UNREACHABLE,,,False
1630,Tokyo,,,0,UNREACHABLE,,,False
1630,Sao-Paulo,,,0,UNREACHABLE,,,False
1640,Tokyo,,,0,UNREACHABLE,,,False
1640,Sao-Paulo,,,0,UNREACHABLE,,,False
1650,Tokyo,,,0,UNREACHABLE,,,False
1650,Sao-Paulo,,,0,UNREACHABLE,,,False
1660,Tokyo,,,0,UNREACHABLE,,,False
1660,Sao-Paulo,,,0,UNREACHABLE,,,False
