t_s,delivered_images,utility,backlog_bits,n_active
11190,9712944.6,95.4551,11894595669,13
11220,9731355.9,95.7284,11687211552,13
11250,9752662.7,95.9907,11479827435,13
11280,9797707.4,96.2642,11272443319,12
11310,9826772.1,96.4993,11065059202,12
11340,9860194.8,96.7242,10857675085,12
11370,9878606.0,96.9746,10650290968,12
11400,9898410.6,97.2602,10442906852,12
11430,9922148.6,97.5925,10235522735,12
11460,9951613.7,97.8996,10028138618,12
11490,9975351.6,98.1897,9820754502,11
11520,9997587.4,98.4897,9613370385,11
11550,10022540.9,98.7763,9405986268,11
11580,10044215.5,99.067,9198602152,11
11610,10073280.1,99.39,8991218035,11
11640,10099449.2,99.6258,8783833918,11
11670,10119350.5,99.9302,8576449802,11
11700,10138977.3,100.2146,8369065685,11
11730,10181590.9,100.4752,8161681568,11
11760,10213743.9,100.7574,7954297451,11
11790,10239095.0,100.9676,7747221777,10
11820,10262368.4,101.2597,7558761485,9
11850,10285641.9,101.4485,7370301194,9
11880,10307974.9,101.7355,7181840902,9
11910,10329194.3,101.9531,6993380610,9
11940,10360939.9,102.1811,6804920318,9
11970,10378886.7,102.4444,6616460027,8
12000,10396833.5,102.7076,6427999735,8
12030,10425720.3,102.9142,6239539443,8
12060,10455536.0,103.1342,6051079151,8
12090,10475673.3,103.3739,5862618860,8
12120,10494852.3,103.6387,5683526621,8
12150,10512334.6,103.8889,5513990154,8
12180,10531327.1,104.118,5344453687,8
12210,10551705.0,104.3278,5174917220,8
12240,10574530.1,104.5422,5005380754,8
12270,10602320.5,104.7448,4835844287,8
12300,10622841.7,104.9719,4666307820,8
12330,10641407.1,105.1642,4518801705,8
12360,10658424.9,105.3306,4388727150,7
12390,10675442.7,105.497,4258652596,7
12420,10692460.6,105.6633,4128578042,7
12450,10709478.4,105.8297,3998503487,7
12480,10726496.2,105.996,3868428933,7
12510,10743514.0,106.1624,3738354379,7
12540,10760531.9,106.3287,3608279825,7
12570,10777549.7,106.4951,3478205270,7
12600,10801232.3,106.7958,16246076194,15
12630,10824683.6,107.0392,16038692077,14
12660,10852819.3,107.2987,15831307960,14
12690,10872910.6,107.6198,15623923844,14
12720,10910513.0,107.8881,15416539727,14
12750,10935002.0,108.1401,15209155610,14
12780,10958697.4,108.3475,15001771493,14
12810,10983650.9,108.6393,14794387377,14
12840,11014504.3,108.8918,14587003260,14
12870,11035346.7,109.1909,14379619143,14
12900,11064233.4,109.448,14172235027,14
12930,11096050.4,109.7095,13964850910,14
12960,11116892.7,109.9632,13757466793,14
12990,11141846.2,110.1696,13550082677,14
13020,11175022.0,110.3999,13342698560,14
13050,11199975.5,110.6944,13135314443,14
13080,11224929.0,110.9104,12927930327,14
13110,11251957.9,111.1631,12720546210,14
13140,11272800.3,111.4519,12513162093,14
13170,11297753.8,111.6531,12305777976,14
13200,11333251.9,111.8591,12098393860,14
13230,11357779.1,112.1178,11891009743,14
13260,11378621.4,112.3785,11683625626,13
13290,11399463.8,112.61,11476241510,13
13320,11424417.3,112.8674,11268857393,13
13350,11457593.1,113.1737,11061473276,13
13380,11478435.4,113.4587,10854089160,13
13410,11499277.8,113.7297,10646705043,13
13440,11520120.1,113.9706,10439320926,13
13470,11545073.6,114.1677,10231936809,13
13500,11577283.1,114.3408,10024552693,13
13530,11602236.6,114.5375,9817168576,12
13560,11623079.0,114.7934,9609784459,12
13590,11643921.3,115.0767,9402400343,12
13620,11668874.8,115.3083,9195016226,12
13650,11693828.3,115.4988,8987632109,12
13680,11727004.1,115.6715,8780247993,12
13710,11751957.6,115.9367,8572863876,12
13740,11776911.1,116.1734,8365479759,12
13770,11801864.6,116.4427,8158095643,12
13800,11822706.9,116.6944,7950711526,12
13830,11847660.4,116.9771,7743327409,12
13860,11880836.2,117.1843,7535943292,12
13890,11904377.7,117.4182,7328559176,12
13920,11930260.2,117.6977,7121175059,12
13950,11955213.6,117.9895,6913790942,12
13980,11980167.1,118.2435,6706406826,11
14010,12005120.6,118.5384,6499022709,11
14040,12052221.9,118.7552,6291638592,11
14070,12077175.4,118.9947,6084254476,10
14100,12103189.0,119.2757,5876870359,10
14130,12125833.0,119.5597,5669486242,10
14160,12150786.5,119.7991,5462102126,9
14190,12170413.3,120.0574,5254718009,9
14220,12195366.8,120.2821,5047333892,9
14250,12218357.7,120.545,4862056534,8
14280,12232657.8,120.7233,4714672417,7
14310,12246957.9,120.9016,4567288300,7
14340,12278918.1,121.0548,4419904184,7
14370,12305551.6,121.2677,4272520067,7
14400,12325178.4,121.4497,4125135950,7
14430,12339478.5,121.628,3977751834,7
14460,12366605.6,121.8451,3830367717,7
14490,12385016.8,122.0675,3682983600,6
14520,12419408.2,122.3348,3535599484,6
14550,12450152.8,122.4981,3388215367,6
14580,12470387.4,122.725,3240831250,6
14610,12490622.0,122.9215,3093447134,6
14640,12510189.7,123.0519,2946063017,5
14670,12525834.7,123.2115,2798678900,4
14700,12538196.0,123.2972,2685368334,3
14730,12548384.9,123.3675,2584292159,3
14760,12558573.9,123.4377,2483215984,3
14790,12568762.8,123.5079,2382139809,3
14820,12578951.7,123.5782,2281063634,3
14850,12589140.7,123.6484,2179987458,3
14880,12599329.6,123.7187,2078911283,3
14910,12609518.6,123.7889,1977835108,3
14940,12619707.5,123.8592,1876758933,3
14970,12627210.4,123.907,1805938389,3
15000,12634503.8,123.953,1737478098,3
15030,12641797.1,123.9991,1669017806,3
15060,12649090.5,124.0451,1600557514,3
15090,12656383.8,124.0911,1532097222,3
15120,12663677.2,124.1372,1463636931,3
15150,12670970.5,124.1832,1395176639,3
15180,12678263.9,124.2288,1326716347,3
15210,12685557.2,124.2725,1258256055,3
15240,12692850.6,124.3144,1189795764,3
15270,12700143.9,124.3547,1121335472,3
15300,12707437.3,124.3928,1052875180,3
15330,12714730.7,124.4289,984414888,3
15360,12722024.0,124.4633,915954597,3
15390,12729317.4,124.496,847494305,3
15420,12736610.7,124.5272,779034013,3
15450,12743904.1,124.5571,710573722,3
