gs,sat,start_s,end_s,duration_s
Tokyo,278,0,30,30
Tokyo,280,17940,18000,60
Tokyo,281,17760,18000,240
Tokyo,282,17580,17820,240
Tokyo,283,17400,17640,240
Tokyo,284,17220,17460,240
Tokyo,285,17040,17250,210
Tokyo,286,16890,17070,180
Tokyo,287,16710,16890,180
Tokyo,288,16530,16710,180
Tokyo,289,16350,16500,150
Tokyo,290,16200,16320,120
Tokyo,291,16020,16140,120
Tokyo,292,15840,15930,90
Tokyo,293,15690,15750,60
Tokyo,294,15540,15540,0
Tokyo,305,1170,1200,30
Tokyo,306,720,1020,300
Tokyo,307,540,840,300
Tokyo,308,360,660,300
Tokyo,309,180,480,300
Tokyo,310,0,300,300
Tokyo,311,0,120,120
Tokyo,324,3750,3750,0
Tokyo,325,3540,3600,60
Tokyo,326,3360,3450,90
Tokyo,327,3150,3270,120
Tokyo,328,2970,3090,120
Tokyo,329,2790,2940,150
Tokyo,330,2580,2760,180
Tokyo,331,2400,2580,180
Tokyo,332,2220,2400,180
Tokyo,333,2040,2250,210
Tokyo,334,1830,2070,240
Tokyo,335,1650,1890,240
Tokyo,336,1470,1710,240
Tokyo,337,1290,1530,240
Tokyo,338,1110,1350,240
Tokyo,339,930,1200,270
Tokyo,340,570,930,360
Tokyo,341,390,750,360
Tokyo,342,210,570,360
Tokyo,343,30,390,360
Tokyo,344,0,210,210
Tokyo,344,6120,6180,60
Tokyo,345,0,30,30
Tokyo,345,5910,6000,90
Tokyo,346,5730,5850,120
Tokyo,347,5550,5670,120
Tokyo,348,5340,5490,150
Tokyo,349,5160,5310,150
Tokyo,350,4980,5160,180
Tokyo,351,4770,4980,210
Tokyo,352,4590,4800,210
Tokyo,353,4410,4620,210
Tokyo,354,4230,4470,240
Tokyo,355,4050,4290,240
Tokyo,356,3840,4110,270
Tokyo,357,3660,3930,270
Tokyo,358,3480,3750,270
Tokyo,359,3300,3570,270
Tokyo,360,3120,3390,270
Tokyo,361,2940,3240,300
Tokyo,362,2760,3060,300
Tokyo,363,2580,2880,300
Tokyo,364,2400,2700,300
Tokyo,365,2190,2520,330
Tokyo,366,2010,2340,330
Tokyo,367,1830,2160,330
Tokyo,368,1650,1980,330
Tokyo,369,1470,1800,330
Tokyo,370,1290,1650,360
Tokyo,371,1110,1470,360
Tokyo,372,930,1290,360
Tokyo,373,750,1110,360
Tokyo,374,480,810,330
Tokyo,374,6600,6840,240
Tokyo,375,300,630,330
Tokyo,375,6420,6660,240
Tokyo,376,150,450,300
Tokyo,376,6240,6510,270
Tokyo,377,0,240,240
Tokyo,377,6060,6330,270
Tokyo,378,0,60,60
Tokyo,378,5880,6150,270
Tokyo,379,5700,5970,270
Tokyo,380,5490,5790,300
Tokyo,381,5310,5610,300
Tokyo,382,5130,5430,300
Tokyo,383,4950,5280,330
Tokyo,384,4770,5100,330
Tokyo,385,4590,4920,330
Tokyo,386,4410,4740,330
Tokyo,387,4230,4560,330
Tokyo,388,4050,4380,330
Tokyo,389,3870,4200,330
Tokyo,390,3690,4020,330
Tokyo,391,3510,3840,330
Tokyo,392,3330,3660,330
Tokyo,393,3150,3480,330
Tokyo,394,2970,3300,330
Tokyo,395,2790,3150,360
Tokyo,396,2610,2970,360
Tokyo,397,2430,2790,360
Tokyo,397,8700,8730,30
Tokyo,398,2250,2610,360
Tokyo,398,8490,8580,90
Tokyo,399,2070,2430,360
Tokyo,399,8310,8400,90
Tokyo,400,1890,2250,360
Tokyo,400,8100,8220,120
Tokyo,401,1710,2070,360
Tokyo,401,7920,8070,150
Tokyo,402,1530,1890,360
Tokyo,402,7740,7890,150
Tokyo,403,1350,1710,360
Tokyo,403,7530,7710,180
Tokyo,404,1200,1530,330
Tokyo,404,7350,7560,210
Tokyo,405,1020,1350,330
Tokyo,405,7170,7380,210
Tokyo,406,840,1170,330
Tokyo,406,6990,7200,210
Tokyo,407,660,990,330
